# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.641700000000000E+009,-4.954009503126144E-002,4.446572666012581E-001,-1.284967026852918E-003,2.049351896857843E-004,4.977348354337682E+000,2.395781040191650E+000,5.719929561018944E-002,-5.175826739813499E-002,
2.643000000000000E+009,-4.589829966425896E-002,4.440455420249959E-001,2.570070828054947E-004,-1.103650196455419E-003,5.230526125685159E+000,1.854053616523743E+000,4.301943629980087E-002,-6.337252282030413E-002,
2.644300000000000E+009,-4.026161879301071E-002,4.443886117302084E-001,1.782872921787982E-003,3.652180384960957E-005,5.392119312857994E+000,1.330010533332825E+000,3.688937053084374E-002,-7.801538905758924E-002,
2.645600000000000E+009,-3.232887387275696E-002,4.446814717935848E-001,-3.404013512107723E-004,-1.274225767701864E-003,5.473780421992069E+000,7.920027375221252E-001,1.801250502467156E-002,-7.977157823149356E-002,
2.646900000000000E+009,-1.896644197404385E-002,4.458696043347047E-001,-4.059275426063790E-004,-2.010065654758364E-004,5.530720315137631E+000,1.698506921529770E-001,8.426531217992306E-003,-9.300380887458130E-002,
2.648200000000000E+009,-1.203415822237730E-002,4.485055818691954E-001,-1.452343819533755E-003,-9.317113435827196E-004,5.526146932149276E+000,-4.053271412849426E-001,-9.429739788174629E-003,-9.447626082399495E-002,
2.649500000000000E+009,-2.324091765331104E-004,4.492348068164159E-001,5.850254008874882E-004,-1.321768620982766E-003,5.441277508920381E+000,-9.314104914665222E-001,-2.618788182735443E-002,-1.005077672243492E-001,
2.650800000000000E+009,1.008077524602413E-002,4.501367693469359E-001,-8.299636769224536E-004,6.141060148365796E-004,5.348637842119628E+000,-1.576733827590942E+000,-4.059696942567825E-002,-9.991715967851639E-002,
2.652100000000000E+009,2.615592256188393E-002,4.483405160802360E-001,8.449553244129608E-004,1.100996742025018E-004,5.136212306685062E+000,-2.064825773239136E+000,-5.263293161988258E-002,-9.702639139552530E-002,
2.653400000000000E+009,3.093221224844456E-002,4.437770402331885E-001,-2.010661410209585E-004,-4.546416676021181E-005,4.883960451271166E+000,-2.562610149383545E+000,-6.466311961412430E-002,-9.412783822861809E-002,
2.654700000000000E+009,3.791229426860809E-002,4.487872600646125E-001,-3.655787201513853E-004,7.371001265710220E-005,4.616715329860344E+000,-3.093553543090820E+000,-8.934648334980011E-002,-8.753925469006516E-002,
2.656000000000000E+009,4.512438178062439E-002,4.503451588166936E-001,1.159649507203235E-003,-3.538255987223238E-004,4.275325464938807E+000,-3.510771512985230E+000,-9.627046436071396E-002,-8.521087066336862E-002,
2.657300000000000E+009,5.914642289280891E-002,4.434305821321970E-001,1.591671501871101E-005,-8.438790100626648E-004,3.864111993842728E+000,-3.941786766052246E+000,-1.078380867838860E-001,-6.606048090922174E-002,
2.658600000000000E+009,7.286020368337631E-002,4.404592041971177E-001,4.456584371304473E-004,1.093448372557759E-003,3.454046528688691E+000,-4.306908130645752E+000,-1.193679943680763E-001,-5.477547332898372E-002,
2.659900000000000E+009,8.372822403907776E-002,4.325011974441127E-001,-4.210086285477677E-004,-8.324673399329186E-004,2.925810610475502E+000,-4.689766883850098E+000,-1.258827149868012E-001,-3.822015287075996E-002,
2.661200000000000E+009,9.292422235012054E-002,4.354069932995840E-001,-6.249289099320834E-004,7.380527677014470E-004,2.452263131735777E+000,-4.976579666137695E+000,-1.379194110631943E-001,-3.547707211113542E-002,
2.662500000000000E+009,9.966307133436203E-002,4.355059447256687E-001,-4.825834658115039E-004,1.417940598912537E-003,1.916011224392770E+000,-5.160568714141846E+000,-1.326470077037811E-001,-1.429659213793042E-002,
2.663800000000000E+009,1.125763505697250E-001,4.219366034814375E-001,-5.095685427550668E-004,1.038642134517431E-003,1.377105866227034E+000,-5.329131603240967E+000,-1.339426934719086E-001,-1.172673548245612E-003,
2.665100000000000E+009,1.186851933598518E-001,4.273726927106408E-001,1.392648234056719E-003,3.076254506595433E-004,8.519650622537602E-001,-5.442438602447510E+000,-1.387957781553268E-001,1.181381655730072E-002,
2.666400000000000E+009,1.258004456758499E-001,4.147137043729962E-001,1.610851894382356E-004,-2.220599271822721E-004,3.166741713182447E-001,-5.474131584167481E+000,-1.391602009534836E-001,2.759174300253402E-002,
